"PlotID","Site","Year","Release.Minor","Release.Major","n.Minor","n.Major","n.Plot","p.Minor","p.Major"
"VLF0","VLF",1843,0,0,0,0,0,0,0
"VLF1","VLF",1843,0,0,0,0,0,0,0
"VUF0","VUF",1843,0,0,0,0,0,0,0
"VUF1","VUF",1843,0,0,0,0,0,0,0
"VLF0","VLF",1844,0,0,0,0,0,0,0
"VLF1","VLF",1844,0,0,0,0,0,0,0
"VUF0","VUF",1844,0,0,0,0,0,0,0
"VUF1","VUF",1844,0,0,0,0,0,0,0
"VLF0","VLF",1845,0,0,0,0,0,0,0
"VLF1","VLF",1845,0,0,0,0,0,0,0
"VUF0","VUF",1845,0,0,0,0,0,0,0
"VUF1","VUF",1845,0,0,0,0,0,0,0
"VLF0","VLF",1846,0,0,0,0,0,0,0
"VLF1","VLF",1846,0,0,0,0,0,0,0
"VUF0","VUF",1846,0,0,0,0,0,0,0
"VUF1","VUF",1846,0,0,0,0,0,0,0
"VLF0","VLF",1847,0,0,0,0,0,0,0
"VLF1","VLF",1847,0,0,0,0,0,0,0
"VUF0","VUF",1847,0,0,0,0,0,0,0
"VUF1","VUF",1847,0,0,0,0,0,0,0
"VLF0","VLF",1848,0,0,0,0,0,0,0
"VLF1","VLF",1848,0,0,0,0,0,0,0
"VUF0","VUF",1848,0,0,0,0,0,0,0
"VUF1","VUF",1848,0,0,0,0,0,0,0
"VLF0","VLF",1849,0,0,0,0,0,0,0
"VLF1","VLF",1849,0,0,0,0,0,0,0
"VUF0","VUF",1849,0,0,0,0,0,0,0
"VUF1","VUF",1849,0,0,0,0,0,0,0
"VLF0","VLF",1850,0,0,0,0,0,0,0
"VLF1","VLF",1850,0,0,0,0,0,0,0
"VUF0","VUF",1850,0,0,0,0,0,0,0
"VUF1","VUF",1850,0,0,0,0,0,0,0
"VLF0","VLF",1851,0,0,0,0,0,0,0
"VLF1","VLF",1851,0,0,0,0,0,0,0
"VUF0","VUF",1851,0,0,0,0,0,0,0
"VUF1","VUF",1851,0,0,0,0,0,0,0
"VLF0","VLF",1852,0,0,0,0,0,0,0
"VLF1","VLF",1852,0,0,0,0,0,0,0
"VUF0","VUF",1852,0,0,0,0,0,0,0
"VUF1","VUF",1852,0,0,0,0,0,0,0
"VLF0","VLF",1853,0,0,0,0,0,0,0
"VLF1","VLF",1853,0,0,0,0,0,0,0
"VUF0","VUF",1853,0,0,0,0,0,0,0
"VUF1","VUF",1853,0,0,0,0,0,0,0
"VLF0","VLF",1854,0,0,0,0,0,0,0
"VLF1","VLF",1854,0,0,0,0,0,0,0
"VUF0","VUF",1854,0,0,0,0,0,0,0
"VUF1","VUF",1854,0,0,0,0,0,0,0
"VLF0","VLF",1855,0,0,0,0,0,0,0
"VLF1","VLF",1855,0,0,0,0,0,0,0
"VUF0","VUF",1855,0,0,0,0,0,0,0
"VUF1","VUF",1855,0,0,0,0,0,0,0
"VLF0","VLF",1856,0,0,0,0,0,0,0
"VLF1","VLF",1856,0,0,0,0,0,0,0
"VUF0","VUF",1856,0,0,0,0,0,0,0
"VUF1","VUF",1856,0,0,0,0,0,0,0
"VLF0","VLF",1857,0,0,0,0,0,0,0
"VLF1","VLF",1857,0,0,0,0,0,0,0
"VUF0","VUF",1857,0,0,0,0,0,0,0
"VUF1","VUF",1857,0,0,0,0,0,0,0
"VLF0","VLF",1858,0,0,0,0,0,0,0
"VLF1","VLF",1858,0,0,0,0,0,0,0
"VUF0","VUF",1858,0,0,0,0,0,0,0
"VUF1","VUF",1858,0,0,0,0,0,0,0
"VLF0","VLF",1859,0,0,0,0,0,0,0
"VLF1","VLF",1859,0,0,0,0,0,0,0
"VUF0","VUF",1859,0,0,0,0,0,0,0
"VUF1","VUF",1859,0,0,0,0,0,0,0
"VLF0","VLF",1860,0,0,0,0,0,0,0
"VLF1","VLF",1860,0,0,0,0,0,0,0
"VUF0","VUF",1860,0,0,0,0,0,0,0
"VUF1","VUF",1860,0,0,0,0,0,0,0
"VLF0","VLF",1861,0,0,0,0,0,0,0
"VLF1","VLF",1861,0,0,0,0,0,0,0
"VUF0","VUF",1861,0,0,0,0,0,0,0
"VUF1","VUF",1861,0,0,0,0,0,0,0
"VLF0","VLF",1862,0,0,0,0,0,0,0
"VLF1","VLF",1862,0,0,0,0,0,0,0
"VUF0","VUF",1862,0,0,0,0,0,0,0
"VUF1","VUF",1862,0,0,0,0,0,0,0
"VLF0","VLF",1863,0,0,0,0,0,0,0
"VLF1","VLF",1863,0,0,0,0,0,0,0
"VUF0","VUF",1863,0,0,0,0,0,0,0
"VUF1","VUF",1863,0,0,0,0,0,0,0
"VLF0","VLF",1864,0,0,0,0,0,0,0
"VLF1","VLF",1864,0,0,0,0,0,0,0
"VUF0","VUF",1864,0,0,0,0,0,0,0
"VUF1","VUF",1864,0,0,0,0,0,0,0
"VLF0","VLF",1865,0,0,0,0,0,0,0
"VLF1","VLF",1865,0,0,0,0,0,0,0
"VUF0","VUF",1865,0,0,0,0,0,0,0
"VUF1","VUF",1865,0,0,0,0,0,0,0
"VLF0","VLF",1866,0,0,0,0,0,0,0
"VLF1","VLF",1866,0,0,0,0,0,0,0
"VUF0","VUF",1866,0,0,0,0,0,0,0
"VUF1","VUF",1866,0,0,0,0,0,0,0
"VLF0","VLF",1867,0,0,0,0,0,0,0
"VLF1","VLF",1867,0,0,0,0,0,0,0
"VUF0","VUF",1867,0,0,0,0,0,0,0
"VUF1","VUF",1867,0,0,0,0,0,0,0
"VLF0","VLF",1868,0,0,0,0,0,0,0
"VLF1","VLF",1868,0,0,0,0,0,0,0
"VUF0","VUF",1868,0,0,0,0,0,0,0
"VUF1","VUF",1868,0,0,0,0,0,0,0
"VLF0","VLF",1869,0,0,0,0,0,0,0
"VLF1","VLF",1869,0,0,0,0,0,0,0
"VUF0","VUF",1869,0,0,0,0,0,0,0
"VUF1","VUF",1869,0,0,0,0,0,0,0
"VLF0","VLF",1870,0,0,0,0,0,0,0
"VLF1","VLF",1870,0,0,0,0,0,0,0
"VUF0","VUF",1870,0,0,0,0,0,0,0
"VUF1","VUF",1870,0,0,0,0,0,0,0
"VLF0","VLF",1871,0,0,0,0,0,0,0
"VLF1","VLF",1871,0,0,0,0,0,0,0
"VUF0","VUF",1871,0,0,0,0,0,0,0
"VUF1","VUF",1871,0,0,0,0,0,0,0
"VLF0","VLF",1872,0,0,0,0,0,0,0
"VLF1","VLF",1872,0,0,0,0,0,0,0
"VUF0","VUF",1872,0,0,0,0,0,0,0
"VUF1","VUF",1872,0,0,0,0,0,0,0
"VLF0","VLF",1873,0,0,0,0,0,0,0
"VLF1","VLF",1873,0,0,0,0,0,0,0
"VUF0","VUF",1873,0,0,0,0,0,0,0
"VUF1","VUF",1873,0,0,0,0,0,0,0
"VLF0","VLF",1874,0,0,0,0,0,0,0
"VLF1","VLF",1874,0,0,0,0,0,0,0
"VUF0","VUF",1874,0,0,0,0,0,0,0
"VUF1","VUF",1874,0,0,0,0,0,0,0
"VLF0","VLF",1875,0,0,0,0,0,0,0
"VLF1","VLF",1875,0,0,0,0,0,0,0
"VUF0","VUF",1875,0,0,0,0,0,0,0
"VUF1","VUF",1875,0,0,0,0,0,0,0
"VLF0","VLF",1876,0,0,0,0,0,0,0
"VLF1","VLF",1876,0,0,0,0,0,0,0
"VUF0","VUF",1876,0,0,0,0,0,0,0
"VUF1","VUF",1876,0,0,0,0,0,0,0
"VLF0","VLF",1877,0,0,0,0,0,0,0
"VLF1","VLF",1877,0,0,0,0,0,0,0
"VUF0","VUF",1877,0,0,0,0,0,0,0
"VUF1","VUF",1877,0,0,0,0,0,0,0
"VLF0","VLF",1878,0,0,0,0,0,0,0
"VLF1","VLF",1878,0,0,0,0,0,0,0
"VUF0","VUF",1878,0,0,0,0,0,0,0
"VUF1","VUF",1878,0,0,0,0,0,0,0
"VLF0","VLF",1879,0,0,0,0,0,0,0
"VLF1","VLF",1879,0,0,0,0,0,0,0
"VUF0","VUF",1879,0,0,0,0,0,0,0
"VUF1","VUF",1879,0,0,0,0,0,0,0
"VLF0","VLF",1880,0,0,0,0,0,0,0
"VLF1","VLF",1880,0,0,0,0,0,0,0
"VUF0","VUF",1880,0,0,0,0,0,0,0
"VUF1","VUF",1880,0,0,0,0,0,0,0
"VLF0","VLF",1881,0,0,0,0,0,0,0
"VLF1","VLF",1881,0,0,0,0,0,0,0
"VUF0","VUF",1881,0,0,0,0,0,0,0
"VUF1","VUF",1881,0,0,0,0,0,0,0
"VLF0","VLF",1882,0,0,0,0,0,0,0
"VLF1","VLF",1882,0,0,0,0,0,0,0
"VUF0","VUF",1882,0,0,0,0,0,0,0
"VUF1","VUF",1882,0,0,0,0,0,0,0
"VLF0","VLF",1883,0,0,0,0,0,0,0
"VLF1","VLF",1883,0,0,0,0,0,0,0
"VUF0","VUF",1883,0,0,0,0,0,0,0
"VUF1","VUF",1883,0,0,0,0,0,0,0
"VLF0","VLF",1884,0,0,0,0,0,0,0
"VLF1","VLF",1884,0,0,0,0,0,0,0
"VUF0","VUF",1884,0,0,0,0,0,0,0
"VUF1","VUF",1884,0,0,0,0,0,0,0
"VLF0","VLF",1885,0,0,0,0,0,0,0
"VLF1","VLF",1885,0,0,0,0,0,0,0
"VUF0","VUF",1885,0,0,0,0,0,0,0
"VUF1","VUF",1885,0,0,0,0,0,0,0
"VLF0","VLF",1886,0,0,0,0,0,0,0
"VLF1","VLF",1886,0,0,0,0,0,0,0
"VUF0","VUF",1886,0,0,0,0,0,0,0
"VUF1","VUF",1886,0,0,0,0,0,0,0
"VLF0","VLF",1887,0,0,0,0,0,0,0
"VLF1","VLF",1887,0,0,0,0,0,0,0
"VUF0","VUF",1887,0,0,0,0,0,0,0
"VUF1","VUF",1887,0,0,0,0,0,0,0
"VLF0","VLF",1888,0,0,0,0,0,0,0
"VLF1","VLF",1888,0,0,0,0,0,0,0
"VUF0","VUF",1888,0,0,0,0,0,0,0
"VUF1","VUF",1888,0,0,0,0,0,0,0
"VLF0","VLF",1889,0,0,0,0,0,0,0
"VLF1","VLF",1889,0,0,0,0,0,0,0
"VUF0","VUF",1889,0,0,0,0,0,0,0
"VUF1","VUF",1889,0,0,0,0,0,0,0
"VLF0","VLF",1890,0,0,0,0,0,0,0
"VLF1","VLF",1890,0,0,0,0,0,0,0
"VUF0","VUF",1890,0,0,0,0,0,0,0
"VUF1","VUF",1890,0,0,0,0,0,0,0
"VLF0","VLF",1891,0,0,0,0,0,0,0
"VLF1","VLF",1891,0,0,0,0,0,0,0
"VUF0","VUF",1891,0,0,0,0,0,0,0
"VUF1","VUF",1891,0,0,0,0,0,0,0
"VLF0","VLF",1892,0,0,0,0,0,0,0
"VLF1","VLF",1892,0,0,0,0,0,0,0
"VUF0","VUF",1892,0,0,0,0,0,0,0
"VUF1","VUF",1892,0,0,0,0,0,0,0
"VLF0","VLF",1893,0,0,0,0,0,0,0
"VLF1","VLF",1893,0,0,0,0,0,0,0
"VUF0","VUF",1893,0,0,0,0,0,0,0
"VUF1","VUF",1893,0,0,0,0,0,0,0
"VLF0","VLF",1894,0,0,0,0,0,0,0
"VLF1","VLF",1894,0,0,0,0,0,0,0
"VUF0","VUF",1894,0,0,0,0,0,0,0
"VUF1","VUF",1894,0,0,0,0,0,0,0
"VLF0","VLF",1895,0,0,0,0,0,0,0
"VLF1","VLF",1895,0,0,0,0,0,0,0
"VUF0","VUF",1895,0,0,0,0,0,0,0
"VUF1","VUF",1895,0,0,0,0,0,0,0
"VLF0","VLF",1896,0,0,0,0,0,0,0
"VLF1","VLF",1896,0,0,0,0,0,0,0
"VUF0","VUF",1896,0,0,0,0,0,0,0
"VUF1","VUF",1896,0,0,0,0,0,0,0
"VLF0","VLF",1897,0,0,0,0,0,0,0
"VLF1","VLF",1897,0,0,0,0,0,0,0
"VUF0","VUF",1897,0,0,0,0,0,0,0
"VUF1","VUF",1897,0,0,0,0,0,0,0
"VLF0","VLF",1898,0,0,0,0,0,0,0
"VLF1","VLF",1898,0,0,0,0,0,0,0
"VUF0","VUF",1898,0,0,0,0,0,0,0
"VUF1","VUF",1898,0,0,0,0,0,0,0
"VLF0","VLF",1899,0,0,0,0,0,0,0
"VLF1","VLF",1899,0,0,0,0,0,0,0
"VUF0","VUF",1899,0,0,0,0,0,0,0
"VUF1","VUF",1899,0,0,0,0,0,0,0
"VLF0","VLF",1900,0,0,0,0,0,0,0
"VLF1","VLF",1900,0,0,0,0,0,0,0
"VUF0","VUF",1900,0,0,0,0,0,0,0
"VUF1","VUF",1900,0,0,0,0,0,0,0
"VLF0","VLF",1901,0,0,0,0,0,0,0
"VLF1","VLF",1901,0,0,0,0,0,0,0
"VUF0","VUF",1901,0,0,0,0,0,0,0
"VUF1","VUF",1901,0,0,0,0,0,0,0
"VLF0","VLF",1902,0,0,0,0,0,0,0
"VLF1","VLF",1902,0,0,0,0,0,0,0
"VUF0","VUF",1902,0,0,0,0,0,0,0
"VUF1","VUF",1902,0,0,0,0,0,0,0
"VLF0","VLF",1903,0,0,0,0,0,0,0
"VLF1","VLF",1903,0,0,0,0,0,0,0
"VUF0","VUF",1903,0,0,0,0,0,0,0
"VUF1","VUF",1903,0,0,0,0,0,0,0
"VLF0","VLF",1904,0,0,0,0,0,0,0
"VLF1","VLF",1904,0,0,0,0,0,0,0
"VUF0","VUF",1904,0,0,0,0,0,0,0
"VUF1","VUF",1904,0,0,0,0,0,0,0
"VLF0","VLF",1905,0,0,0,0,0,0,0
"VLF1","VLF",1905,0,0,0,0,0,0,0
"VUF0","VUF",1905,0,0,0,0,0,0,0
"VUF1","VUF",1905,0,0,0,0,0,0,0
"VLF0","VLF",1906,0,0,0,0,0,0,0
"VLF1","VLF",1906,0,0,0,0,0,0,0
"VUF0","VUF",1906,0,0,0,0,0,0,0
"VUF1","VUF",1906,0,0,0,0,0,0,0
"VLF0","VLF",1907,0,0,0,0,0,0,0
"VLF1","VLF",1907,0,0,0,0,0,0,0
"VUF0","VUF",1907,0,0,0,0,0,0,0
"VUF1","VUF",1907,0,0,0,0,0,0,0
"VLF0","VLF",1908,0,0,0,0,0,0,0
"VLF1","VLF",1908,0,0,0,0,0,0,0
"VUF0","VUF",1908,0,0,0,0,0,0,0
"VUF1","VUF",1908,0,0,0,0,0,0,0
"VLF0","VLF",1909,0,0,0,0,0,0,0
"VLF1","VLF",1909,0,0,0,0,0,0,0
"VUF0","VUF",1909,0,0,0,0,0,0,0
"VUF1","VUF",1909,0,0,0,0,0,0,0
"VLF0","VLF",1910,0,0,0,0,0,0,0
"VLF1","VLF",1910,0,0,0,0,0,0,0
"VUF0","VUF",1910,0,0,0,0,0,0,0
"VUF1","VUF",1910,0,0,0,0,0,0,0
"VLF0","VLF",1911,0,0,0,0,0,0,0
"VLF1","VLF",1911,0,0,0,0,0,0,0
"VUF0","VUF",1911,0,0,0,0,0,0,0
"VUF1","VUF",1911,0,0,0,0,0,0,0
"VLF0","VLF",1912,0,0,0,0,0,0,0
"VLF1","VLF",1912,0,0,0,0,0,0,0
"VUF0","VUF",1912,0,0,0,0,0,0,0
"VUF1","VUF",1912,0,0,0,0,0,0,0
"VLF0","VLF",1913,0,0,0,0,0,0,0
"VLF1","VLF",1913,0,0,0,0,0,0,0
"VUF0","VUF",1913,0,0,0,0,0,0,0
"VUF1","VUF",1913,0,0,0,0,0,0,0
"VLF0","VLF",1914,0,0,0,0,0,0,0
"VLF1","VLF",1914,0,0,0,0,0,0,0
"VUF0","VUF",1914,0,0,0,0,0,0,0
"VUF1","VUF",1914,0,0,0,0,0,0,0
"VLF0","VLF",1915,0,0,0,0,0,0,0
"VLF1","VLF",1915,0,0,0,0,0,0,0
"VUF0","VUF",1915,0,0,0,0,0,0,0
"VUF1","VUF",1915,0,0,0,0,0,0,0
"VLF0","VLF",1916,0,0,0,0,0,0,0
"VLF1","VLF",1916,0,0,0,0,0,0,0
"VUF0","VUF",1916,0,0,0,0,0,0,0
"VUF1","VUF",1916,0,0,0,0,0,0,0
"VLF0","VLF",1917,0,0,0,0,0,0,0
"VLF1","VLF",1917,0,0,0,0,0,0,0
"VUF0","VUF",1917,0,0,0,0,0,0,0
"VUF1","VUF",1917,0,0,0,0,0,0,0
"VLF0","VLF",1918,0,0,0,0,0,0,0
"VLF1","VLF",1918,0,0,0,0,0,0,0
"VUF0","VUF",1918,0,0,0,0,0,0,0
"VUF1","VUF",1918,0,0,0,0,1,0,0
"VLF0","VLF",1919,0,0,0,0,0,0,0
"VLF1","VLF",1919,0,0,0,0,0,0,0
"VUF0","VUF",1919,0,0,0,0,2,0,0
"VUF1","VUF",1919,0,0,0,0,2,0,0
"VLF0","VLF",1920,0,0,0,0,0,0,0
"VLF1","VLF",1920,0,0,0,0,0,0,0
"VUF0","VUF",1920,0,0,0,0,4,0,0
"VUF1","VUF",1920,0,0,0,0,4,0,0
"VLF0","VLF",1921,0,0,0,0,0,0,0
"VLF1","VLF",1921,0,0,0,0,0,0,0
"VUF0","VUF",1921,0,0,0,0,6,0,0
"VUF1","VUF",1921,0,0,0,0,6,0,0
"VLF0","VLF",1922,0,0,0,0,0,0,0
"VLF1","VLF",1922,0,0,0,0,0,0,0
"VUF0","VUF",1922,0,0,0,0,8,0,0
"VUF1","VUF",1922,0,0,0,0,8,0,0
"VLF0","VLF",1923,0,0,0,0,0,0,0
"VLF1","VLF",1923,0,0,0,0,0,0,0
"VUF0","VUF",1923,0,0,0,0,10,0,0
"VUF1","VUF",1923,0,0,0,0,10,0,0
"VLF0","VLF",1924,0,0,0,0,0,0,0
"VLF1","VLF",1924,0,0,0,0,1,0,0
"VUF0","VUF",1924,0,0,0,0,12,0,0
"VUF1","VUF",1924,0,0,0,0,12,0,0
"VLF0","VLF",1925,0,0,0,0,0,0,0
"VLF1","VLF",1925,0,0,0,0,2,0,0
"VUF0","VUF",1925,0,0,0,0,15,0,0
"VUF1","VUF",1925,0,0,0,0,14,0,0
"VLF0","VLF",1926,0,0,0,0,0,0,0
"VLF1","VLF",1926,0,0,0,0,3,0,0
"VUF0","VUF",1926,0,0,0,0,20,0,0
"VUF1","VUF",1926,0,0,0,0,16,0,0
"VLF0","VLF",1927,0,0,0,0,0,0,0
"VLF1","VLF",1927,0,0,0,0,4,0,0
"VUF0","VUF",1927,0,0,0,0,26,0,0
"VUF1","VUF",1927,0,0,0,0,19,0,0
"VLF0","VLF",1928,0,0,0,0,0,0,0
"VLF1","VLF",1928,0,0,0,0,5,0,0
"VUF0","VUF",1928,0,0,0,0,34,0,0
"VUF1","VUF",1928,0,0,0,0,25,0,0
"VLF0","VLF",1929,0,0,0,0,0,0,0
"VLF1","VLF",1929,0,0,0,0,7,0,0
"VUF0","VUF",1929,0,0,0,0,44,0,0
"VUF1","VUF",1929,0,0,0,0,34,0,0
"VLF0","VLF",1930,0,0,0,0,1,0,0
"VLF1","VLF",1930,0,0,0,0,13,0,0
"VUF0","VUF",1930,0,0,0,0,53,0,0
"VUF1","VUF",1930,0,0,0,0,44,0,0
"VLF0","VLF",1931,0,0,0,0,4,0,0
"VLF1","VLF",1931,0,0,0,0,20,0,0
"VUF0","VUF",1931,0,0,0,0,66,0,0
"VUF1","VUF",1931,0,0,0,0,57,0,0
"VLF0","VLF",1932,0,0,0,0,8,0,0
"VLF1","VLF",1932,0,0,0,0,28,0,0
"VUF0","VUF",1932,0,0,0,0,81,0,0
"VUF1","VUF",1932,0,0,0,0,76,0,0
"VLF0","VLF",1933,0,0,0,0,14,0,0
"VLF1","VLF",1933,0,0,0,0,39,0,0
"VUF0","VUF",1933,0,0,0,0,97,0,0
"VUF1","VUF",1933,0,0,0,0,98,0,0
"VLF0","VLF",1934,0,0,0,0,20,0,0
"VLF1","VLF",1934,0,0,0,0,50,0,0
"VUF0","VUF",1934,0,0,0,0,113,0,0
"VUF1","VUF",1934,0,0,0,0,120,0,0
"VLF0","VLF",1935,0,0,0,0,27,0,0
"VLF1","VLF",1935,0,0,0,0,60,0,0
"VUF0","VUF",1935,0,0,0,0,130,0,0
"VUF1","VUF",1935,0,0,0,0,143,0,0
"VLF0","VLF",1936,0,0,0,0,35,0,0
"VLF1","VLF",1936,0,0,0,0,73,0,0
"VUF0","VUF",1936,0,0,0,0,146,0,0
"VUF1","VUF",1936,0,0,0,0,167,0,0
"VLF0","VLF",1937,0,0,0,0,44,0,0
"VLF1","VLF",1937,0,0,0,0,86,0,0
"VUF0","VUF",1937,0,0,0,0,162,0,0
"VUF1","VUF",1937,0,0,0,0,192,0,0
"VLF0","VLF",1938,0,0,0,0,53,0,0
"VLF1","VLF",1938,0,0,0,0,100,0,0
"VUF0","VUF",1938,0,0,0,0,179,0,0
"VUF1","VUF",1938,0,0,0,0,217,0,0
"VLF0","VLF",1939,0,0,0,0,65,0,0
"VLF1","VLF",1939,0,0,0,0,114,0,0
"VUF0","VUF",1939,0,0,0,0,195,0,0
"VUF1","VUF",1939,0,0,0,0,241,0,0
"VLF0","VLF",1940,0,0,0,0,79,0,0
"VLF1","VLF",1940,0,0,0,0,128,0,0
"VUF0","VUF",1940,0,0,0,0,210,0,0
"VUF1","VUF",1940,0,0,0,0,262,0,0
"VLF0","VLF",1941,0,0,0,0,96,0,0
"VLF1","VLF",1941,0,0,0,0,142,0,0
"VUF0","VUF",1941,0,0,0,0,227,0,0
"VUF1","VUF",1941,0,0,0,0,283,0,0
"VLF0","VLF",1942,0,0,0,0,113,0,0
"VLF1","VLF",1942,0,0,0,0,158,0,0
"VUF0","VUF",1942,0,0,0,0,240,0,0
"VUF1","VUF",1942,0,0,0,0,300,0,0
"VLF0","VLF",1943,0,0,0,0,132,0,0
"VLF1","VLF",1943,0,0,0,0,175,0,0
"VUF0","VUF",1943,0,0,0,0,251,0,0
"VUF1","VUF",1943,0,0,0,0,311,0,0
"VLF0","VLF",1944,0,0,0,0,151,0,0
"VLF1","VLF",1944,0.152527353073233,0,1,0,192,0.00520833333333333,0
"VUF0","VUF",1944,0,0,0,0,262,0,0
"VUF1","VUF",1944,0,0,0,0,319,0,0
"VLF0","VLF",1945,0,0,0,0,174,0,0
"VLF1","VLF",1945,0.301293930411238,0,2,0,212,0.00943396226415094,0
"VUF0","VUF",1945,0,0,0,0,274,0,0
"VUF1","VUF",1945,0,0,0,0,328,0,0
"VLF0","VLF",1946,0,0,0,0,200,0,0
"VLF1","VLF",1946,0.447876790444411,0,4,0,233,0.0171673819742489,0
"VUF0","VUF",1946,0,0,0,0,287,0,0
"VUF1","VUF",1946,0,0,0,0,336,0,0
"VLF0","VLF",1947,0,0,0,0,225,0,0
"VLF1","VLF",1947,0.595187571818739,0,7,0,255,0.0274509803921569,0
"VUF0","VUF",1947,0,0,0,0,300,0,0
"VUF1","VUF",1947,0,0,0,0,343,0,0
"VLF0","VLF",1948,0,0,0,0,251,0,0
"VLF1","VLF",1948,0.733697945361898,0,9,0,278,0.0323741007194245,0
"VUF0","VUF",1948,0,0,0,0,311,0,0
"VUF1","VUF",1948,0,0,0,0,349,0,0
"VLF0","VLF",1949,0,0,0,0,278,0,0
"VLF1","VLF",1949,0.733697945361898,0,9,0,300,0.03,0
"VUF0","VUF",1949,0,0,0,0,320,0,0
"VUF1","VUF",1949,0,0,0,0,354,0,0
"VLF0","VLF",1950,0,0,0,0,302,0,0
"VLF1","VLF",1950,0.733697945361898,0,9,0,324,0.0277777777777778,0
"VUF0","VUF",1950,0,0,0,0,328,0,0
"VUF1","VUF",1950,0,0,0,0,357,0,0
"VLF0","VLF",1951,0,0,0,0,326,0,0
