"","series","first","last","year","mean","median","stdev","skew","sens1","sens2","gini","ar1"
"1","TP1003E",1898,2012,115,0.526,0.423,0.396,1.815,0.388,0.364,0.37,0.646
"2","TP1003N",1901,2012,112,0.482,0.394,0.35,1.442,0.391,0.315,0.38,0.805
"3","TP1003S",1904,2012,109,0.515,0.486,0.313,0.971,0.346,0.334,0.328,0.645
"4","TP1008N",1925,2012,88,0.469,0.436,0.278,0.631,0.402,0.34,0.329,0.663
"5","TP1008W",1924,2012,89,0.529,0.39,0.391,1.23,0.376,0.289,0.385,0.804
"6","TP1008S",1906,1966,61,0.339,0.338,0.178,0.177,0.461,0.418,0.299,0.454
"7","TP1015N",1897,2012,116,0.62,0.54,0.389,1.874,0.301,0.265,0.311,0.842
"8","TP1015E",1897,2012,116,0.688,0.665,0.319,0.598,0.309,0.285,0.256,0.628
"9","TP1015S",1920,2012,93,0.606,0.591,0.355,1.044,0.323,0.277,0.312,0.733
"10","TP1031N",1899,2012,114,0.776,0.671,0.558,1.56,0.304,0.303,0.37,0.714
"11","TP1031S",1899,2012,114,0.736,0.674,0.542,1.493,0.289,0.267,0.383,0.744
"12","TP1031W",1897,2012,116,0.608,0.428,0.584,2.272,0.34,0.285,0.448,0.78
"13","TP1038N",1932,2012,81,0.686,0.542,0.922,4.846,0.357,0.454,0.465,0.573
"14","TP1038E",1943,2012,70,0.47,0.404,0.342,1.081,0.285,0.278,0.389,0.835
"15","TP1038S",1914,2012,99,0.694,0.627,0.341,0.091,0.291,0.273,0.279,0.674
"16","TP2003W",1929,2013,85,0.69,0.398,0.73,1.277,0.597,0.38,0.55,0.829
"17","TP2003N",1929,2013,85,0.604,0.316,0.74,2.111,0.576,0.432,0.575,0.789
"18","TP2003S",1929,2013,85,0.82,0.362,0.878,1.105,0.523,0.342,0.562,0.837
"19","TP2007N",1929,2013,85,0.621,0.432,0.65,2.369,0.49,0.41,0.494,0.718
"20","TP2007S",1929,2013,85,0.55,0.386,0.642,2.733,0.562,0.44,0.523,0.729
"21","TP2007E",1929,2013,85,0.61,0.481,0.611,2.935,0.476,0.408,0.442,0.697
"22","TP2007W",1929,2013,85,0.545,0.312,0.591,2.527,0.461,0.411,0.496,0.739
"23","TP2013N",1934,2013,80,0.691,0.465,0.63,1.392,0.45,0.294,0.468,0.893
"24","TP2013S",1934,2013,80,0.601,0.346,0.579,1.432,0.505,0.373,0.493,0.846
"25","TP2013E",1936,2013,78,0.605,0.373,0.635,1.699,0.428,0.293,0.519,0.85
"26","TP2013W",1936,2013,78,0.66,0.413,0.643,1.53,0.438,0.249,0.494,0.874
"27","TP2015E",1931,2013,83,0.608,0.46,0.484,0.947,0.463,0.289,0.428,0.809
"28","TP2015W",1931,2013,83,0.717,0.567,0.572,1.01,0.437,0.306,0.43,0.801
"29","TP2015N",1931,2013,83,0.67,0.537,0.501,0.833,0.412,0.23,0.41,0.897
"30","TP2015S",1931,2013,83,0.647,0.529,0.498,1.189,0.415,0.309,0.402,0.848
"31","TP2016N",1930,2013,84,0.587,0.334,0.749,2.592,0.428,0.302,0.568,0.799
"32","TP2016S",1930,2013,84,0.534,0.282,0.692,2.784,0.515,0.331,0.563,0.791
"33","TP2016E",1929,2013,85,0.542,0.358,0.596,2.177,0.506,0.336,0.521,0.844
"34","TP2016W",1929,2013,85,0.519,0.311,0.601,2.044,0.39,0.33,0.55,0.867
"35","TP2020N",1929,2013,85,0.489,0.281,0.539,1.239,0.341,0.311,0.561,0.894
"36","TP2020S",1929,2013,85,0.51,0.216,0.632,1.345,0.368,0.358,0.623,0.878
"37","TP2020E",1930,1999,70,0.578,0.292,0.598,1.252,0.352,0.346,0.524,0.824
"38","TP2020W",1930,2000,71,0.623,0.395,0.63,1.144,0.568,0.337,0.534,0.848
"39","TP2021S",1937,2013,77,0.63,0.428,0.662,1.694,0.575,0.291,0.519,0.872
"40","TP2021E",1934,2013,80,0.849,0.603,0.79,1.528,0.378,0.259,0.473,0.911
"41","TP2021W",1934,2013,80,0.885,0.666,0.749,1.82,0.329,0.253,0.413,0.912
"42","TP2028N",1929,2013,85,0.641,0.459,0.715,1.74,0.311,0.238,0.563,0.893
"43","TP2028S",1929,2013,85,0.647,0.446,0.738,1.919,0.402,0.281,0.567,0.862
"44","TP2028E",1929,2013,85,0.676,0.491,0.712,1.596,0.4,0.282,0.539,0.881
"45","TP2030W",1933,2005,73,0.6,0.408,0.493,1.611,0.35,0.304,0.413,0.775
"46","TP2030E",1930,2003,74,0.654,0.466,0.559,1.908,0.431,0.374,0.423,0.77
"47","TP2030S",1929,2013,85,0.572,0.406,0.541,1.765,0.375,0.363,0.472,0.794
"48","TP2030N",1929,2013,85,0.511,0.399,0.451,1.501,0.386,0.383,0.455,0.763
"49","TP2035N",1935,2013,79,1.212,1.205,0.384,0.337,0.237,0.221,0.175,0.6
"50","TP2035S",1935,2013,79,1.163,1.024,0.464,0.688,0.288,0.278,0.221,0.616
"51","TP2035E",1936,2013,78,1.156,1.125,0.441,0.73,0.247,0.241,0.209,0.663
"52","TP2043S",1940,2013,74,0.546,0.46,0.374,1.806,0.444,0.371,0.351,0.66
"53","TP2043E",1937,2013,77,0.519,0.382,0.456,1.597,0.514,0.402,0.447,0.75
"54","TP2050N",1930,2013,84,0.636,0.546,0.318,1.495,0.346,0.319,0.255,0.584
"55","TP2050S",1930,2013,84,0.543,0.484,0.315,1.811,0.286,0.276,0.296,0.71
"56","TP2050E",1933,2013,81,0.52,0.474,0.25,0.783,0.341,0.313,0.264,0.648
"57","TP2050W",1933,2013,81,0.567,0.507,0.264,0.601,0.353,0.332,0.26,0.586
"58","TP2076N",1940,2014,75,1.14,0.662,1.058,0.882,0.362,0.231,0.495,0.913
"59","TP2076S",1940,2014,75,0.737,0.535,0.547,1.818,0.29,0.271,0.365,0.788
"60","TP1001W",1957,2012,56,1.382,1.364,0.411,0.179,0.282,0.276,0.169,0.226
"61","TP1001E",1955,2012,58,1.464,1.434,0.5,0.586,0.283,0.289,0.19,0.412
"62","TP1001S",1955,2012,58,1.5,1.519,0.434,0.218,0.279,0.268,0.158,0.236
"63","TP1006N",1952,2012,61,0.799,0.747,0.399,1.612,0.396,0.412,0.255,0.133
"64","TP1006S",1951,2012,62,0.811,0.698,0.448,1.427,0.353,0.372,0.285,0.441
"65","TP1006E",1956,2012,57,0.884,0.854,0.291,0.993,0.26,0.261,0.178,0.464
"66","TP1007N",1953,2012,60,0.698,0.641,0.322,0.658,0.327,0.297,0.252,0.54
"67","TP1007W",1952,2012,61,0.678,0.638,0.292,0.909,0.296,0.283,0.229,0.296
"68","TP1007E",1952,2012,61,0.812,0.746,0.353,1.038,0.296,0.283,0.229,0.494
"69","TP1020N",1954,2012,59,0.852,0.815,0.332,0.437,0.287,0.279,0.216,0.551
"70","TP1020W",1955,2012,58,0.841,0.841,0.298,0.224,0.307,0.3,0.195,0.356
"71","TP1020S",1949,2012,64,0.808,0.765,0.349,0.947,0.302,0.306,0.232,0.49
"72","TP1024N",1904,2012,109,1.559,1.583,0.512,-0.198,0.184,0.164,0.186,0.78
"73","TP1024W",1918,2012,95,1.59,1.486,0.692,0.085,0.214,0.181,0.249,0.852
"74","TP1024E",1920,2012,93,1.714,1.708,0.847,0.441,0.255,0.205,0.276,0.802
"75","TP2001W",1930,2013,84,1.161,0.803,0.959,0.573,0.433,0.262,0.459,0.881
"76","TP2001S",1936,2013,78,0.979,0.576,0.943,0.997,0.377,0.247,0.513,0.891
"77","TP2001N",1936,2013,78,1.175,0.536,1.198,0.79,0.519,0.256,0.543,0.886
"78","TP2011N",1931,2013,83,0.869,0.659,0.686,1.265,0.329,0.293,0.41,0.798
"79","TP2011S",1931,2013,83,1.013,0.852,0.718,0.96,0.37,0.33,0.384,0.733
"80","TP2011W",1932,2013,82,0.868,0.688,0.628,1.278,0.352,0.29,0.375,0.795
"81","TP2012S",1934,2013,80,0.658,0.45,0.663,1.224,0.418,0.32,0.524,0.817
"82","TP2012N",1934,2013,80,0.749,0.225,0.873,1.192,0.466,0.289,0.598,0.874
"83","TP2012E",1932,2013,82,0.795,0.546,0.807,1.191,0.537,0.322,0.531,0.833
"84","TP2012W",1932,2013,82,0.675,0.34,0.76,1.202,0.652,0.356,0.584,0.812
"85","TP2034E",1942,2013,72,0.998,0.795,0.747,0.742,0.277,0.238,0.412,0.878
"86","TP2034W",1941,2013,73,1.029,0.984,0.524,0.374,0.275,0.255,0.288,0.742
"87","TP2034S",1941,2011,71,0.81,0.627,0.438,0.506,0.272,0.264,0.301,0.721
"88","TP2034N",1941,2013,73,1.275,1.341,0.554,-0.084,0.238,0.205,0.244,0.724
"89","TP2036W",1940,2013,74,1.08,0.867,0.891,0.296,0.451,0.243,0.464,0.913
"90","TP2036E",1940,2013,74,0.937,0.956,0.683,0.042,0.36,0.17,0.414,0.935
"91","TP2036S",1933,2013,81,1.059,1.022,0.789,0.422,0.452,0.263,0.422,0.882
"92","TP2036N",1933,2013,81,0.649,0.469,0.598,1.142,0.5,0.296,0.49,0.848
"93","TP2046S",1930,2013,84,0.915,0.84,0.412,0.749,0.281,0.262,0.249,0.68
"94","TP2046W",1932,2009,78,0.81,0.717,0.578,0.587,0.32,0.247,0.399,0.836
"95","TP2046E",1932,2013,82,1.118,1.054,0.475,0.849,0.283,0.256,0.232,0.617
"96","TP2047E",1931,2013,83,0.632,0.338,0.765,1.896,0.433,0.314,0.56,0.888
"97","TP2047W",1931,2013,83,0.945,0.754,0.712,1.284,0.29,0.292,0.388,0.808
"98","TP2047N",1935,2013,79,0.826,0.607,0.584,1.724,0.343,0.365,0.341,0.7
"99","TP2047S",1935,2013,79,0.689,0.534,0.53,1.256,0.356,0.357,0.402,0.757
"100","TP2048E",1930,2013,84,0.701,0.382,0.802,1.795,0.418,0.381,0.517,0.834
"101","TP2048W",1930,2013,84,0.547,0.348,0.597,1.992,0.551,0.447,0.511,0.803
"102","TP2048N",1936,2013,78,0.515,0.317,0.602,2.242,0.464,0.435,0.504,0.733
"103","TP2048S",1936,2013,78,0.513,0.397,0.511,2.235,0.461,0.492,0.452,0.562
"104","TP2058E",1933,2014,82,1.168,0.95,0.861,0.721,0.405,0.324,0.407,0.781
"105","TP2058W",1933,2014,82,1.766,1.717,1.008,0.576,0.351,0.302,0.317,0.727
"106","TP1011N",1907,2012,106,0.469,0.43,0.29,0.949,0.325,0.293,0.336,0.788
"107","TP1011E",1907,2012,106,0.527,0.434,0.319,0.994,0.314,0.252,0.326,0.842
"108","TP1011W",1923,2012,90,0.467,0.398,0.281,0.815,0.323,0.266,0.33,0.78
"109","TP1040W",1961,2012,52,1.201,1.23,0.315,-0.209,0.233,0.223,0.146,0.381
"110","TP1040E",1961,2012,52,1.101,1.023,0.361,0.472,0.24,0.246,0.182,0.545
"111","TP1040N",1957,2012,56,1.151,1.03,0.417,0.679,0.263,0.267,0.2,0.532
"112","TP2029N",1933,2013,81,0.93,0.814,0.479,1.068,0.311,0.307,0.277,0.553
"113","TP2029S",1933,2013,81,0.936,0.881,0.434,1.663,0.295,0.294,0.236,0.576
"114","TP2029E",1943,2013,71,1.168,1.078,0.52,0.746,0.283,0.265,0.242,0.668
"115","TP2004N",1931,2013,83,1.019,0.596,1.203,2.106,0.36,0.295,0.556,0.888
"116","TP2004S",1930,2013,84,1.087,0.603,1.374,1.84,0.315,0.238,0.593,0.92
"117","TP2004E",1928,2013,86,1.052,0.394,1.36,1.748,0.33,0.238,0.61,0.935
"118","TP2039N",1933,2013,81,0.62,0.308,0.712,1.58,0.314,0.297,0.566,0.869
"119","TP2039S",1933,2013,81,0.687,0.469,0.641,1.193,0.321,0.302,0.492,0.836
"120","TP2039E",1931,2013,83,0.681,0.393,0.789,1.574,0.268,0.252,0.571,0.898
"121","TP2039W",1931,2013,83,0.665,0.463,0.653,1.491,0.327,0.313,0.499,0.839
"122","TP2065N",1934,2014,81,1.205,0.919,0.863,1.338,0.279,0.235,0.373,0.826
"123","TP2065S",1934,2014,81,0.909,0.758,0.697,2.394,0.306,0.249,0.346,0.786
"124","TP1048E",1906,2014,109,1.041,0.986,0.457,0.832,0.273,0.258,0.237,0.652
"125","TP1048W",1906,2014,109,0.805,0.756,0.345,0.555,0.29,0.27,0.234,0.617
"126","TP1063N",1921,2012,92,1.51,1.391,0.739,0.507,0.253,0.228,0.274,0.828
"127","TP1063S",1921,2011,91,1.519,1.361,0.801,0.444,0.281,0.252,0.297,0.812
"128","TP2059E",1937,2014,78,2.295,1.895,1.586,1.753,0.296,0.276,0.352,0.783
"129","TP2059W",1940,2014,75,2.07,1.934,1.327,1.901,0.313,0.232,0.313,0.833
"130","TP2061E",1934,2014,81,2.526,2.116,1.619,1.707,0.26,0.211,0.309,0.88
"131","TP2061W",1937,2014,78,2.351,2.195,1.215,1.464,0.258,0.212,0.254,0.789
"132","TP2064N",1935,2014,80,2.002,1.84,1.052,1.599,0.234,0.211,0.265,0.751
"133","TP2064S",1939,2014,76,2.259,1.98,1.317,1.704,0.208,0.189,0.285,0.818
"134","TP1012S",1908,2013,106,1.092,0.874,0.604,1.725,0.164,0.161,0.269,0.906
"135","TP1012E",1908,2013,106,1.442,1.228,0.67,1.011,0.184,0.175,0.25,0.843
"136","TP1012N",1898,2013,116,1.429,1.256,0.647,1.29,0.19,0.183,0.237,0.849
"137","TP1014W",1898,2012,115,1.037,0.773,0.689,1.33,0.181,0.16,0.341,0.927
"138","TP1014E",1898,2011,114,1.319,1.092,0.781,0.693,0.183,0.17,0.329,0.888
"139","TP1017W",1901,2013,113,1.555,1.526,0.534,0.309,0.165,0.165,0.193,0.758
"140","TP1017S",1906,2013,108,1.339,1.332,0.409,0.349,0.166,0.173,0.173,0.702
"141","TP1017N",1900,2013,114,1.533,1.426,0.534,0.701,0.193,0.193,0.191,0.699
"142","TP1021W",1899,1988,90,1.134,0.954,0.605,0.645,0.178,0.182,0.297,0.863
"143","TP1021N",1899,1989,91,1.114,1.012,0.56,0.713,0.167,0.176,0.279,0.85
"144","TP1021S",1899,1990,92,1.063,0.78,0.669,0.572,0.164,0.159,0.349,0.924
"145","TP1022E",1900,2013,114,1.439,1.18,0.824,1.075,0.189,0.182,0.306,0.883
"146","TP1022W",1917,2013,97,1.518,1.169,0.909,0.896,0.183,0.163,0.325,0.905
"147","TP1022S",1918,2013,96,1.185,1.004,0.588,0.902,0.195,0.194,0.271,0.792
"148","TP1023N",1902,1991,90,1.247,1.072,0.641,0.994,0.179,0.174,0.277,0.86
"149","TP1023S",1902,1981,80,1.244,1.034,0.625,1.391,0.186,0.183,0.26,0.832
"150","TP1023W",1902,1991,90,1.169,0.98,0.65,0.654,0.204,0.193,0.309,0.881
"151","TP1025E",1906,2013,108,1.52,1.341,0.764,0.862,0.157,0.147,0.276,0.912
"152","TP1025S",1909,2013,105,1.317,1.146,0.724,0.956,0.148,0.144,0.297,0.912
"153","TP1025N",1896,2013,118,1.433,1.282,0.893,1.086,0.199,0.19,0.336,0.899
"154","TP1034W",1903,2013,111,1.806,1.645,0.833,0.63,0.168,0.167,0.258,0.856
"155","TP1034S",1901,2013,113,1.803,1.5,0.946,1.086,0.157,0.157,0.28,0.879
"156","TP1034E",1904,2013,110,1.986,1.891,0.791,0.387,0.16,0.164,0.225,0.833
"157","TP1039W",1900,2013,114,1.703,1.55,0.722,0.782,0.199,0.193,0.234,0.813
"158","TP1039E",1906,2013,108,2.192,1.894,1.155,0.864,0.215,0.198,0.288,0.866
"159","TP1039S",1916,2013,98,2.136,1.844,1.066,0.99,0.193,0.185,0.267,0.855
"160","TP1042E",1908,2013,106,0.989,0.782,0.754,2.293,0.222,0.227,0.343,0.88
"161","TP1042N",1896,2013,118,1.371,1.144,0.867,1.306,0.232,0.246,0.329,0.791
"162","TP1042S",1896,2013,118,0.911,0.613,0.733,1.507,0.253,0.277,0.4,0.846
"163","TP1043W",1899,2014,116,1.591,1.579,0.413,0.428,0.153,0.15,0.144,0.722
"164","TP1043E",1899,2014,116,1.317,1.272,0.355,0.565,0.156,0.155,0.151,0.691
"165","TP1044E",1899,2014,116,1.743,1.642,0.732,0.841,0.15,0.149,0.231,0.875
"166","TP1044W",1898,2014,117,1.623,1.569,0.568,0.277,0.144,0.143,0.2,0.839
"167","TP1046E",1924,2014,91,1.447,1.186,0.801,1.498,0.172,0.188,0.283,0.872
"168","TP1046W",1913,2014,102,1.031,0.836,0.588,1.286,0.159,0.158,0.294,0.919
"169","TP1047N",1903,2014,112,1.572,1.284,0.818,1.14,0.174,0.159,0.275,0.92
"170","TP1047S",1898,2014,117,1.649,1.515,0.69,1.183,0.169,0.166,0.222,0.864
"171","TP1049E",1902,2014,113,1.035,0.956,0.45,0.541,0.188,0.19,0.245,0.822
"172","TP1049W",1902,2014,113,1.087,0.922,0.706,0.934,0.214,0.2,0.354,0.901
"173","TP1050N",1904,2014,111,0.946,0.711,0.655,1.183,0.188,0.177,0.363,0.922
"174","TP1050S",1904,2005,102,0.941,0.842,0.618,0.798,0.159,0.149,0.361,0.92
"175","TP1052N",1904,2014,111,1.407,1.061,0.878,0.565,0.184,0.176,0.345,0.912
"176","TP1052W",1904,2014,111,1.2,1.075,0.623,0.326,0.179,0.181,0.293,0.873
"177","TP1053W",1900,2014,115,1.651,1.604,0.582,0.365,0.163,0.16,0.2,0.81
"178","TP1053S",1905,2014,110,1.76,1.775,0.659,0.248,0.147,0.147,0.214,0.852
"179","TP1054S",1900,2014,115,1.141,0.924,0.612,1.022,0.152,0.154,0.287,0.907
"180","TP1054N",1901,2014,114,1.227,1.248,0.453,0.379,0.151,0.146,0.208,0.847
"181","TP1055N",1909,1941,33,2.071,1.945,0.594,0.823,0.187,0.192,0.155,0.601
"182","TP1055S",1909,2014,106,0.854,0.711,0.562,0.605,0.173,0.174,0.367,0.893
"183","TP1056N",1908,2014,107,1.676,1.465,0.837,0.781,0.154,0.149,0.275,0.91
"184","TP1056S",1905,2014,110,1.434,1.343,0.615,0.926,0.14,0.142,0.234,0.889
"185","TP1057E",1906,2014,109,1.663,1.59,0.678,0.718,0.205,0.188,0.226,0.799
"186","TP1057W",1907,2014,108,1.338,1.203,0.548,0.548,0.196,0.181,0.229,0.812
"187","TP1060N",1917,2014,98,1.697,1.576,0.726,0.643,0.189,0.196,0.239,0.762
"188","TP1060S",1911,2014,104,1.332,1.302,0.511,0.3,0.208,0.205,0.218,0.764
"189","TP1061E",1899,2014,116,1.202,1.115,0.417,0.656,0.164,0.169,0.19,0.737
"190","TP1061W",1904,2014,111,1.392,1.381,0.442,0.198,0.155,0.145,0.179,0.808
"191","TP1062S",1900,2014,115,1.453,1.356,0.551,0.701,0.169,0.17,0.211,0.812
"192","TP1062N",1900,2014,115,1.305,1.207,0.486,0.703,0.164,0.167,0.207,0.793
"193","TP1064E",1912,2014,103,1.048,0.986,0.279,0.919,0.145,0.146,0.145,0.746
"194","TP1064W",1912,2014,103,1.324,1.283,0.34,0.935,0.154,0.159,0.137,0.64
"195","TP1065N",1923,2014,92,0.573,0.564,0.264,0.664,0.192,0.18,0.256,0.834
"196","TP1065S",1900,2014,115,0.868,0.794,0.461,0.917,0.174,0.168,0.29,0.88
"197","TP1066E",1900,2014,115,1.418,1.459,0.67,0.333,0.165,0.162,0.268,0.882
"198","TP1066W",1900,2014,115,1.206,1.01,0.681,0.702,0.182,0.18,0.312,0.888
"199","TP1068N",1916,2014,99,1.534,1.362,0.848,1.211,0.165,0.158,0.291,0.902
"200","TP1068S",1903,2014,112,1.716,1.75,0.71,0.236,0.165,0.16,0.236,0.866
"201","TP1070N",1903,2014,112,1.785,1.578,0.865,1.01,0.149,0.143,0.262,0.917
"202","TP1070W",1904,2014,111,1.647,1.597,0.627,0.732,0.158,0.154,0.211,0.841
"203","TP1071N",1904,2014,111,1.594,1.578,0.518,0.495,0.153,0.149,0.182,0.813
"204","TP1071W",1899,2014,116,1.68,1.626,0.558,0.298,0.169,0.164,0.187,0.81
"205","TP1075a",1905,2014,110,1.85,1.76,0.872,0.448,0.158,0.156,0.265,0.882
"206","TP1075b",1899,2014,116,1.788,1.668,0.821,0.645,0.157,0.147,0.256,0.906
"207","TP2005N",1935,2013,79,2.355,2.418,0.956,0.763,0.15,0.153,0.222,0.808
"208","TP2005S",1936,2013,78,2.297,2.212,0.64,0.521,0.143,0.135,0.156,0.739
"209","TP2005E",1941,2013,73,2.504,2.548,0.962,1.052,0.155,0.158,0.206,0.797
"210","TP2006S",1931,2013,83,1.082,0.852,0.777,0.986,0.173,0.176,0.385,0.895
"211","TP2006E",1932,2013,82,1.208,1.006,0.794,0.975,0.186,0.181,0.355,0.898
"212","TP2006W",1935,2013,79,0.993,0.732,0.733,1.339,0.206,0.198,0.375,0.907
"213","TP2008N",1935,2013,79,2.009,1.752,0.864,0.855,0.187,0.184,0.234,0.785
"214","TP2008E",1935,2013,79,1.918,1.647,0.753,0.838,0.171,0.165,0.214,0.839
"215","TP2008W",1938,2013,76,1.789,1.578,0.861,0.705,0.159,0.153,0.265,0.859
"216","TP2014N",1936,2013,78,1.972,2.038,0.458,-0.204,0.192,0.182,0.131,0.495
"217","TP2014E",1935,2013,79,2.049,1.903,0.693,0.812,0.192,0.185,0.181,0.676
"218","TP2014W",1950,2013,64,2.23,2.189,0.557,-0.044,0.173,0.167,0.141,0.517
"219","TP2017N",1929,2013,85,2.011,1.862,0.716,0.378,0.169,0.167,0.201,0.76
"220","TP2017W",1935,2013,79,1.863,1.721,0.649,0.87,0.153,0.153,0.19,0.809
"221","TP2017S",1933,2013,81,1.58,1.505,0.536,0.703,0.155,0.149,0.188,0.826
"222","TP2018N",1933,2013,81,1.579,1.289,0.746,1.173,0.15,0.146,0.248,0.91
"223","TP2018S",1933,2013,81,1.424,1.317,0.529,0.829,0.172,0.172,0.204,0.804
"224","TP2018W",1932,2013,82,1.45,1.259,0.54,1.002,0.171,0.173,0.199,0.794
"225","TP2019N",1932,2013,82,1.733,1.509,0.827,1.218,0.166,0.172,0.25,0.874
"226","TP2019S",1936,2013,78,2.001,1.818,0.797,0.989,0.176,0.177,0.215,0.764
"227","TP2019W",1933,2013,81,1.88,1.713,0.677,1.203,0.158,0.159,0.19,0.774
"228","TP2024S",1931,2013,83,1.801,1.304,1.14,0.813,0.18,0.177,0.342,0.88
"229","TP2024N",1931,2013,83,1.341,1.003,0.943,0.962,0.174,0.173,0.373,0.904
"230","TP2024W",1940,2013,74,1.508,1.001,1.113,1.139,0.176,0.181,0.384,0.903
"231","TP2026N",1938,2007,70,0.998,0.924,0.635,1.59,0.18,0.178,0.326,0.893
"232","TP2026S",1930,2008,79,0.968,0.973,0.585,0.674,0.209,0.185,0.334,0.887
"233","TP2027N",1938,2013,76,1.333,1.168,0.625,0.728,0.138,0.14,0.258,0.874
"234","TP2027E",1937,2013,77,1.317,1.129,0.747,1.198,0.154,0.153,0.298,0.862
"235","TP2027W",1937,2013,77,1.665,1.531,0.817,0.522,0.181,0.172,0.276,0.844
"236","TP2031N",1941,2013,73,1.343,1.26,0.427,0.905,0.167,0.169,0.172,0.657
"237","TP2031S",1934,2013,80,1.487,1.41,0.451,0.618,0.16,0.158,0.168,0.72
"238","TP2031W",1937,2013,77,1.436,1.321,0.453,1.205,0.144,0.154,0.167,0.737
"239","TP2033N",1935,2013,79,1.263,1.22,0.437,0.771,0.168,0.164,0.19,0.786
"240","TP2033S",1935,2013,79,1.705,1.755,0.523,-0.61,0.185,0.159,0.171,0.76
"241","TP2033W",1942,2013,72,1.644,1.584,0.454,0.057,0.147,0.141,0.157,0.765
"242","TP2038N",1944,2013,70,0.819,0.708,0.611,1.139,0.196,0.173,0.393,0.933
