"","series","first","last","year","mean","median","stdev","skew","sens1","sens2","gini","ar1"
"723","HOW1046E",1874,2009,136,0.651,0.535,0.57,2.179,0.323,0.265,0.431,0.859
"724","HOW1047W",1934,2013,80,0.79,0.719,0.258,0.607,0.153,0.151,0.182,0.798
"725","HOW1047E",1934,2013,80,0.87,0.852,0.284,0.067,0.171,0.161,0.186,0.78
"726","HOW1048N",1933,2013,81,1.192,1.185,0.366,0.086,0.176,0.165,0.176,0.768
"727","HOW1048S",1933,2013,81,1.027,1.015,0.332,0.207,0.162,0.159,0.183,0.775
"728","HOW1049W",1875,2013,139,1.035,0.993,0.677,0.634,0.22,0.186,0.363,0.905
"729","HOW1049E",1862,2013,152,1.217,1.316,0.679,-0.225,0.21,0.163,0.317,0.906
"730","HOW1054W",1883,2013,131,0.804,0.69,0.509,1.054,0.194,0.156,0.341,0.946
"731","HOW1054E",1884,2013,130,0.701,0.621,0.366,0.489,0.207,0.182,0.294,0.891
"732","HOW1055S",1867,2013,147,0.775,0.648,0.474,1.063,0.231,0.194,0.328,0.906
"733","HOW1055N",1866,2013,148,0.688,0.559,0.448,1.117,0.229,0.179,0.348,0.918
"734","HOW1061E",1911,2013,103,0.852,0.693,0.673,2.95,0.231,0.255,0.347,0.816
"735","HOW1061W",1911,2013,103,0.656,0.589,0.332,1.334,0.232,0.236,0.266,0.79
"736","HOW1064E",1942,2013,72,1.172,1.029,0.584,1.192,0.188,0.185,0.263,0.861
"737","HOW1064W",1943,2013,71,1.51,1.432,0.703,0.272,0.172,0.159,0.264,0.871
"738","HOW1066N",1871,2013,143,0.805,0.71,0.544,1.619,0.237,0.203,0.345,0.889
"739","HOW1066S",1871,2013,143,0.877,0.771,0.536,1.654,0.236,0.226,0.315,0.851
"740","HOW1067E",1871,2013,143,0.383,0.293,0.325,0.744,0.286,0.195,0.465,0.934
"741","HOW1067W",1871,2013,143,0.397,0.337,0.312,0.643,0.266,0.204,0.439,0.912
"742","HOW1068N",1890,2013,124,0.563,0.48,0.442,0.762,0.267,0.19,0.435,0.928
"743","HOW1068S",1890,2013,124,0.524,0.533,0.362,0.337,0.452,0.255,0.393,0.843
"744","HOW1070E",1955,2013,59,1.501,1.395,0.598,0.115,0.186,0.167,0.226,0.859
"745","HOW1070W",1955,2013,59,1.196,1.077,0.56,0.461,0.187,0.17,0.263,0.884
"746","HOW1071E",1961,2013,53,1.578,1.537,0.56,0.858,0.187,0.187,0.192,0.724
"747","HOW1071W",1879,2013,135,0.784,0.676,0.48,1.284,0.234,0.219,0.323,0.887
"748","HOW1075W",1938,2013,76,0.783,0.798,0.456,-0.019,0.243,0.182,0.33,0.901
"749","HOW1075E",1938,2013,76,0.773,0.742,0.476,0.213,0.226,0.198,0.351,0.893
"750","HOW1079N",1938,2008,71,0.805,0.832,0.434,0.151,0.215,0.173,0.303,0.855
"751","HOW1079S",1938,2008,71,0.854,0.885,0.464,0.259,0.183,0.163,0.306,0.845
"752","HOW1080W",1892,1961,70,5.026,5.225,2.341,-0.382,0.288,0.228,0.263,0.706
"753","HOW1080E",1922,2008,87,0.53,0.595,0.241,-0.68,0.29,0.22,0.25,0.743
"754","HOW1081W",1901,2013,113,0.88,0.709,0.552,0.941,0.187,0.167,0.337,0.932
"755","HOW1081E",1901,2013,113,0.882,0.845,0.391,0.36,0.183,0.168,0.248,0.88
"756","HOW1083N",1934,2007,74,0.83,0.673,0.661,0.883,0.289,0.24,0.433,0.882
"757","HOW1083S",1934,2003,70,0.692,0.623,0.527,1.188,0.229,0.182,0.4,0.895
"758","HOW1084N",1932,2004,73,0.888,1.023,0.674,0.145,0.186,0.128,0.425,0.961
"759","HOW1084S",1932,2000,69,1.029,1.257,0.697,-0.194,0.191,0.139,0.38,0.944
"760","HOW1085W",1938,2009,72,0.738,0.622,0.617,0.721,0.323,0.229,0.461,0.863
"761","HOW1085E",1938,2011,74,0.638,0.563,0.51,0.619,0.259,0.186,0.442,0.886
"762","HOW1086E",1942,2013,72,1.004,0.96,0.47,0.084,0.182,0.156,0.266,0.892
"763","HOW1086W",1942,2013,72,1.005,0.99,0.525,0.273,0.172,0.15,0.296,0.895
"764","HOW1087E",1873,2013,141,0.867,0.634,0.603,0.812,0.223,0.192,0.381,0.928
"765","HOW1087W",1884,2013,130,0.763,0.526,0.609,1.033,0.213,0.202,0.427,0.917
"766","HOW1088E",1939,2002,64,0.573,0.556,0.356,0.858,0.304,0.222,0.338,0.845
"767","HOW1091S",1930,2006,77,0.801,0.728,0.67,0.424,0.226,0.161,0.469,0.93
"768","HOW1091N",1930,2000,71,0.713,0.702,0.524,0.453,0.301,0.169,0.409,0.906
"769","HOW1093E",1937,2013,77,1.023,0.928,0.408,0.703,0.171,0.169,0.221,0.833
"770","HOW1093W",1937,2013,77,1.427,1.454,0.497,0.603,0.201,0.198,0.192,0.72
"771","HOW1095E",1940,2012,73,1.098,1.133,0.721,1.171,0.221,0.153,0.346,0.802
"772","HOW1095W",1940,2013,74,1.072,1.113,0.763,1.118,0.178,0.168,0.38,0.809
"773","HOW1096S",1923,2013,91,0.75,0.779,0.28,0.191,0.179,0.174,0.212,0.801
"774","HOW1096N",1923,2013,91,0.801,0.829,0.263,-0.257,0.192,0.183,0.187,0.75
"775","HOW1097N",1933,2013,81,0.91,0.903,0.371,0.143,0.212,0.192,0.232,0.796
"776","HOW1097S",1933,2013,81,0.923,0.916,0.286,0.064,0.212,0.203,0.175,0.65
"777","HOW1100W",1900,2013,114,1.287,0.785,1.029,0.888,0.221,0.173,0.429,0.949
"778","HOW1100E",1900,2013,114,1.084,0.827,0.762,0.629,0.214,0.159,0.391,0.953
"779","HOW1107N",1934,2013,80,1.021,0.978,0.63,0.743,0.243,0.203,0.339,0.874
"780","HOW1107S",1933,2013,81,0.814,0.769,0.556,0.898,0.286,0.218,0.373,0.896
"781","HOW1110N",1940,2013,74,0.911,0.748,0.617,0.578,0.236,0.225,0.377,0.846
"782","HOW1110S",1942,2013,72,0.918,0.882,0.565,0.458,0.256,0.236,0.346,0.833
"783","HOW1111E",1941,2012,72,0.803,0.638,0.616,0.818,0.249,0.196,0.419,0.905
"784","HOW1111W",1941,2012,72,0.761,0.625,0.623,0.921,0.28,0.209,0.441,0.892
"785","HOW1114S",1937,2007,71,0.796,0.899,0.422,0.044,0.26,0.211,0.301,0.834
"786","HOW1114N",1936,2004,69,0.861,0.805,0.533,0.501,0.287,0.236,0.348,0.814
"787","HOW1118S",1936,2013,78,1.224,1.216,0.513,0.838,0.204,0.199,0.228,0.768
"788","HOW1118N",1936,2013,78,1.414,1.414,0.549,0.677,0.208,0.192,0.212,0.762
"789","HOW1119N",1936,2007,72,1.029,0.928,0.759,0.58,0.217,0.166,0.41,0.907
"790","HOW1119S",1936,2005,70,0.931,0.829,0.663,0.626,0.212,0.173,0.397,0.912
"791","HOW1120N",1843,2013,171,0.736,0.545,0.507,0.976,0.212,0.176,0.371,0.936
"792","HOW1120S",1843,2013,171,0.786,0.47,0.679,0.979,0.211,0.169,0.456,0.956
"793","HOW1122S",1909,2013,105,1.044,0.957,0.734,0.711,0.201,0.163,0.39,0.944
"794","HOW1122N",1909,2013,105,1.05,0.902,0.604,0.843,0.203,0.189,0.316,0.893
"795","HOW1123N",1924,2013,90,1.172,0.961,0.72,0.693,0.17,0.167,0.34,0.921
"796","HOW1123S",1924,2013,90,1.114,0.816,0.786,0.791,0.185,0.172,0.385,0.934
"797","HOW1125W",1925,2013,89,1.096,0.87,1.025,1.047,0.27,0.186,0.501,0.945
"798","HOW1125E",1925,2013,89,0.906,0.843,0.737,0.658,0.246,0.204,0.452,0.922
"799","HOW1126A",1934,2001,68,0.717,0.687,0.342,0.41,0.244,0.198,0.265,0.824
"800","HOW1126B",1879,2008,130,0.35,0.287,0.235,1.276,0.198,0.168,0.349,0.89
"801","HOW1127S",1929,2013,85,1.359,1.4,0.737,0.211,0.164,0.154,0.304,0.888
"802","HOW1127N",1929,2013,85,1.064,1.045,0.645,0.548,0.15,0.134,0.337,0.912
"803","HOW1129E",1929,2013,85,1.003,0.753,0.617,1.133,0.168,0.162,0.322,0.925
"804","HOW1129W",1930,2013,84,1.246,0.841,0.795,0.677,0.181,0.185,0.349,0.895
"805","HOW1130N",1937,2013,77,1.117,1.068,0.494,0.193,0.165,0.153,0.252,0.871
"806","HOW1130S",1937,2013,77,1.25,1.262,0.53,0.118,0.161,0.153,0.242,0.859
"807","HOW1131N",1930,2013,84,1.203,1.2,0.742,0.352,0.161,0.156,0.348,0.911
"808","HOW1131S",1930,2013,84,1.078,0.874,0.69,0.64,0.192,0.167,0.356,0.91
"809","HOW1134S",1931,2013,83,1.914,1.934,0.623,0.124,0.149,0.146,0.186,0.835
"810","HOW1134N",1931,2013,83,1.73,1.668,0.609,0.479,0.131,0.136,0.198,0.857
"811","HOW2009E",1889,2013,125,1.716,1.523,0.984,0.719,0.191,0.166,0.318,0.918
"812","HOW2009W",1909,2013,105,1.052,0.966,0.512,0.4,0.174,0.156,0.276,0.895
"813","HOW2010N",1935,2013,79,0.849,0.852,0.491,0.262,0.18,0.162,0.33,0.923
"814","HOW2010S",1935,2013,79,0.975,0.984,0.671,0.249,0.306,0.173,0.391,0.924
"815","HOW2012S",1895,2013,119,1.244,1.03,0.701,0.97,0.182,0.161,0.305,0.916
"816","HOW2012N",1895,2012,118,1.365,1.197,0.666,0.728,0.165,0.15,0.27,0.91
"817","HOW2016S",1904,2013,110,0.801,0.829,0.423,-0.101,0.176,0.15,0.301,0.907
"818","HOW2016N",1904,2013,110,1.05,1.071,0.563,-0.072,0.216,0.159,0.306,0.911
"819","HOW2017S",1904,2013,110,0.979,1.054,0.654,0.248,0.249,0.172,0.378,0.927
"820","HOW2017N",1904,2013,110,0.889,0.802,0.605,0.199,0.278,0.171,0.387,0.935
"821","HOW2019W",1930,2013,84,1.401,1.441,0.719,-0.035,0.253,0.21,0.293,0.861
"822","HOW2019E",1930,2013,84,1.443,1.443,0.665,-0.124,0.201,0.177,0.263,0.878
"823","HOW2020W",1962,2013,52,0.698,0.524,0.509,0.521,0.317,0.25,0.405,0.815
"824","HOW2020E",1917,2013,97,1.091,1.021,0.709,0.478,0.257,0.231,0.367,0.869
"825","HOW2022E",1855,2013,159,1.287,0.828,1.032,1.211,0.209,0.176,0.419,0.951
"826","HOW2022W",1855,2013,159,0.913,0.745,0.581,1.253,0.183,0.175,0.337,0.912
"827","HOW2024W",1879,2013,135,1.411,1.163,0.912,0.802,0.224,0.194,0.357,0.909
"828","HOW2024E",1858,2013,156,1.201,0.944,0.877,1.055,0.218,0.189,0.395,0.93
"829","HOW2029W",1890,2013,124,0.496,0.439,0.287,0.785,0.258,0.223,0.32,0.843
"830","HOW2029E",1890,2013,124,0.579,0.532,0.323,0.465,0.276,0.226,0.315,0.843
"831","HOW2034N",1902,2013,112,1.224,1.084,0.677,0.592,0.197,0.183,0.311,0.879
"832","HOW2034S",1902,2013,112,1.293,1.232,0.699,0.514,0.218,0.184,0.304,0.89
"833","HOW2035E",1944,2013,70,1.791,1.63,0.945,0.711,0.161,0.147,0.292,0.925
"834","HOW2036E",1901,2011,111,0.57,0.513,0.376,0.514,0.259,0.212,0.371,0.866
"835","HOW2047E",1927,2013,87,1.349,1.296,0.488,0.589,0.17,0.166,0.202,0.806
"836","HOW2047W",1925,2013,89,0.909,0.916,0.259,0.153,0.152,0.151,0.162,0.752
"837","HOW2049W",1957,2013,57,1.071,1.112,0.401,0.206,0.194,0.184,0.211,0.723
"838","HOW2049E",1943,2013,71,1.202,1.228,0.69,-0.138,0.222,0.154,0.322,0.879
"839","HOW2053W",1870,2013,144,0.896,0.84,0.419,0.179,0.207,0.186,0.266,0.851
"840","HOW2053E",1870,2013,144,0.922,0.832,0.478,0.649,0.183,0.169,0.289,0.903
"841","HOW2063W",1852,2013,162,0.419,0.236,0.366,0.922,0.359,0.2,0.468,0.943
"842","HOW2063E",1853,2013,161,0.518,0.412,0.359,0.603,0.322,0.235,0.389,0.844
"843","HOW2066N",1927,2013,87,1.481,1.411,0.465,0.649,0.158,0.155,0.174,0.804
"844","HOW2066S",1927,2012,86,1.377,1.429,0.412,-0.088,0.201,0.183,0.169,0.701
"845","HOW2068E",1900,2013,114,1.021,0.988,0.661,0.671,0.198,0.18,0.361,0.907
"846","HOW2069E",1967,2013,47,1.728,1.414,1.226,0.676,0.216,0.161,0.391,0.929
"847","HOW2069W",1976,2013,38,1.379,1.241,0.514,0.978,0.219,0.214,0.2,0.72
"848","HOW2070E",1954,2013,60,1.286,0.855,1.118,1.818,0.183,0.18,0.403,0.885
"849","HOW2070W",1959,2013,55,0.902,0.624,0.629,0.989,0.174,0.157,0.367,0.917
"850","HOW2073E",1856,2013,158,0.693,0.721,0.356,0.294,0.2,0.174,0.291,0.896
"851","HOW2073W",1868,2013,146,0.573,0.58,0.293,0.433,0.202,0.171,0.289,0.891
"852","HOW2076S",1852,2013,162,1.109,1.039,0.667,0.752,0.209,0.176,0.334,0.91
"853","HOW2076N",1872,2013,142,0.854,0.678,0.539,0.954,0.217,0.188,0.344,0.898
"854","HOW2080A",1878,1993,116,0.603,0.483,0.366,1.364,0.258,0.236,0.316,0.774
"855","HOW1080B",1878,2008,131,0.363,0.295,0.266,1.786,0.202,0.176,0.366,0.868
"856","HOW2082S",1933,2013,81,0.646,0.584,0.521,0.693,0.269,0.182,0.445,0.912
"857","HOW2082N",1963,2013,51,0.289,0.238,0.15,1.028,0.223,0.209,0.274,0.861
"858","HOW2086E",1872,2013,142,0.732,0.736,0.347,0.058,0.235,0.194,0.271,0.854
"859","HOW2086W",1872,2013,142,0.698,0.704,0.304,-0.017,0.265,0.224,0.245,0.745
"860","HOW2088E",1870,2013,144,1.542,1.145,1.052,1.136,0.192,0.176,0.364,0.932
"861","HOW2088W",1904,2013,110,1.43,1.246,0.722,0.46,0.205,0.18,0.284,0.882
"862","HOW2090S",1940,2013,74,1.816,1.988,0.799,-0.164,0.168,0.151,0.249,0.885
"863","HOW2090N",1831,2013,183,0.977,0.644,0.811,1.267,0.221,0.182,0.432,0.949
"864","HOW2093E",1878,2013,136,0.612,0.546,0.411,1.006,0.237,0.203,0.366,0.903
"865","HOW2093W",1861,2013,153,0.838,0.854,0.517,0.246,0.232,0.194,0.352,0.906
"866","HOW2094S",1869,2013,145,1.109,0.92,0.564,1.229,0.163,0.164,0.267,0.899
"867","HOW2094N",1868,2013,146,1.069,0.988,0.47,1.022,0.185,0.175,0.238,0.858
"868","HOW2098S",1931,2013,83,1.01,0.984,0.247,0.297,0.188,0.181,0.138,0.551
"869","HOW2098N",1932,2013,82,1.459,1.45,0.468,0.328,0.201,0.196,0.181,0.675
"870","HOW2102N",1859,2013,155,1.377,1.345,0.656,0.134,0.258,0.207,0.272,0.787
"871","HOW2102S",1859,2013,155,0.968,0.922,0.497,0.422,0.228,0.201,0.29,0.81
"872","HOW2103N",1926,2013,88,0.877,0.917,0.507,0.472,0.199,0.18,0.323,0.891
"873","HOW2103S",1926,2013,88,1.2,1.115,0.67,0.548,0.252,0.214,0.314,0.857
"874","HOW2104N",1904,2013,110,0.985,0.819,0.544,0.578,0.238,0.161,0.308,0.922
"875","HOW2104S",1904,2013,110,0.922,0.86,0.498,0.419,0.256,0.204,0.305,0.875
"876","HOW2105N",1861,2013,153,0.849,0.443,0.858,1.781,0.24,0.2,0.489,0.944
"877","HOW2105S",1860,2013,154,0.912,0.452,0.911,1.353,0.287,0.217,0.5,0.948
"878","HOW3002E",1868,2013,146,0.575,0.548,0.276,1.202,0.224,0.213,0.253,0.784
"879","HOW3002W",1868,2009,142,0.498,0.467,0.283,1.33,0.223,0.196,0.296,0.834
"880","HOW3015N",1957,2013,57,1.513,1.567,0.643,-0.142,0.211,0.158,0.238,0.872
"881","HOW3015S",1957,2013,57,1.48,1.464,0.615,-0.03,0.16,0.147,0.236,0.877
"882","HOW3016E",1881,2013,133,0.928,0.838,0.478,0.387,0.263,0.21,0.288,0.855
"883","HOW3016W",1881,2013,133,1.043,1.011,0.443,0.044,0.206,0.181,0.237,0.823
"884","HOW3018N",1911,2013,103,1.007,0.888,0.555,0.668,0.183,0.165,0.307,0.914
"885","HOW3018S",1911,2013,103,0.873,0.808,0.359,0.532,0.173,0.163,0.23,0.86
"886","HOW3028S",1880,2013,134,0.937,0.964,0.408,-0.069,0.197,0.18,0.248,0.858
"887","HOW3028N",1880,2013,134,0.64,0.547,0.317,0.416,0.201,0.176,0.28,0.876
"888","HOW3030S",1832,2013,182,0.752,0.638,0.424,1.177,0.226,0.22,0.302,0.843
"889","HOW3030N",1832,2013,182,0.747,0.689,0.396,0.968,0.208,0.187,0.288,0.878
"890","HOW3031E",1899,2013,115,1.185,0.974,0.914,1.83,0.282,0.258,0.388,0.867
"891","HOW3031W",1899,2013,115,0.952,0.859,0.597,1.643,0.223,0.212,0.317,0.865
"892","HOW3039E",1931,2013,83,1.634,1.629,0.622,0.279,0.157,0.155,0.217,0.845
"893","HOW3039W",1931,2013,83,1.208,1.115,0.378,0.83,0.167,0.16,0.169,0.798
"894","HOW3040N",1934,2013,80,1.527,1.505,0.81,-0.194,0.139,0.112,0.301,0.945
"895","HOW3040S",1934,2013,80,2.086,2.043,0.853,0.081,0.137,0.129,0.23,0.883
"896","HOW3041E",1937,2013,77,1.34,1.224,0.914,0.238,0.203,0.175,0.385,0.917
"897","HOW3041W",1939,2013,75,1.218,0.949,0.719,0.781,0.157,0.169,0.321,0.868
"898","HOW3050E",1866,2013,148,1.271,1.038,0.874,1.235,0.209,0.163,0.367,0.933
"899","HOW3050W",1930,2013,84,1.826,1.695,0.65,0.591,0.177,0.18,0.198,0.777
"900","HOW3056S",1886,2010,125,0.969,1.041,0.534,-0.204,0.226,0.188,0.312,0.887
"901","HOW3056N",1886,2013,128,0.848,0.828,0.466,0.263,0.239,0.185,0.313,0.878
"902","HOW3057S",1900,2013,114,0.723,0.668,0.423,0.422,0.227,0.189,0.33,0.858
"903","HOW3057N",1900,2013,114,0.793,0.702,0.431,0.54,0.22,0.184,0.305,0.889
"904","HOW3065E",1862,2013,152,1.109,0.752,1.031,1.2,0.223,0.182,0.487,0.946
"905","HOW3065W",1862,2013,152,0.859,0.56,0.716,1.149,0.194,0.182,0.44,0.938
"906","HOW3085E",1920,2012,93,0.455,0.319,0.362,1.239,0.289,0.217,0.41,0.927
"907","HOW3085W",1921,2013,93,0.542,0.468,0.344,1.177,0.256,0.207,0.334,0.904
"908","HOW3088W",1905,2013,109,1.289,1.2,0.529,0.02,0.187,0.156,0.227,0.884
"909","HOW3088E",1912,2013,102,1.446,1.332,0.7,0.291,0.205,0.185,0.272,0.883
"910","HOW2079N",1955,2013,59,1.106,1.065,0.483,0.424,0.242,0.237,0.246,0.664
"911","HOW2079S",1955,2013,59,1.443,1.287,0.623,1.237,0.212,0.212,0.223,0.71
"912","HOW3017W",1925,2012,88,0.365,0.316,0.247,0.958,0.281,0.253,0.367,0.84
"913","HOW3017E",1908,2013,106,0.542,0.485,0.374,1.448,0.28,0.273,0.362,0.829
"914","HOW1007N",1920,2013,94,0.734,0.609,0.344,1.628,0.194,0.195,0.233,0.769
"915","HOW1007S",1920,2013,94,0.688,0.531,0.445,1.944,0.232,0.219,0.311,0.759
"916","HOW1042N",1948,2013,66,0.453,0.47,0.137,0.157,0.231,0.215,0.17,0.548
"917","HOW1042S",1948,2013,66,0.519,0.524,0.165,0.127,0.294,0.272,0.178,0.402
"918","HOW1090W",1925,2013,89,0.641,0.614,0.265,0.252,0.244,0.224,0.235,0.735
"919","HOW1090E",1925,2013,89,0.748,0.695,0.38,0.782,0.26,0.217,0.279,0.832
"920","HOW1105N",1944,2013,70,0.579,0.481,0.305,0.855,0.248,0.238,0.287,0.819
"921","HOW1105W",1933,2013,81,0.51,0.472,0.213,0.468,0.242,0.225,0.236,0.717
"922","HOW1116W",1927,2013,87,0.629,0.606,0.257,0.228,0.245,0.226,0.232,0.744
"923","HOW1116E",1927,2013,87,0.741,0.691,0.381,0.832,0.261,0.218,0.281,0.839
"924","HOW1117E",1927,2013,87,0.74,0.753,0.263,0.004,0.278,0.228,0.195,0.632
"925","HOW1117W",1928,2013,86,0.381,0.398,0.137,0.253,0.304,0.293,0.203,0.377
"926","HOW2018W",1920,2013,94,1.007,0.972,0.294,0.749,0.195,0.189,0.16,0.675
"927","HOW2018E",1965,2013,49,0.928,0.887,0.287,0.215,0.24,0.238,0.174,0.552
"928","HOW2025E",1912,2013,102,0.769,0.736,0.331,0.859,0.257,0.231,0.233,0.718
"929","HOW2025W",1918,2013,96,0.707,0.671,0.278,0.535,0.224,0.201,0.219,0.773
"930","HOW2032E",1932,2013,82,0.611,0.562,0.382,1.322,0.273,0.227,0.324,0.844
"931","HOW2039N",1887,2013,127,0.329,0.288,0.216,1.456,0.408,0.304,0.34,0.725
"932","HOW2043S",1849,2013,165,0.681,0.612,0.301,0.945,0.193,0.181,0.24,0.837
"933","HOW2043N",1849,2013,165,0.783,0.69,0.411,1.085,0.19,0.189,0.283,0.866
"934","HOW2048E",1922,2013,92,0.584,0.53,0.252,0.686,0.238,0.233,0.239,0.721
"935","HOW2048W",1931,2013,83,0.762,0.704,0.378,0.994,0.204,0.19,0.27,0.866
"936","HOW2061N",1814,2013,200,0.655,0.576,0.334,1.163,0.224,0.206,0.271,0.847
"937","HOW2061S",1812,2013,202,0.783,0.686,0.475,1.21,0.253,0.226,0.322,0.87
"938","HOW2075E",1842,2013,172,0.978,0.885,0.489,0.836,0.19,0.191,0.275,0.847
"939","HOW2083E",1922,2013,92,0.631,0.411,0.559,0.672,0.278,0.246,0.485,0.902
"940","HOW3023E",1902,2013,112,0.441,0.409,0.199,1.228,0.203,0.192,0.24,0.845
"941","HOW3023W",1895,2013,119,0.61,0.597,0.314,0.64,0.209,0.191,0.285,0.864
"942","HOW3024N",1862,2013,152,1.036,0.896,0.656,1.726,0.206,0.206,0.325,0.875
"943","HOW3024S",1924,2013,90,0.638,0.548,0.383,3.233,0.299,0.269,0.261,0.665
"944","HOW3032N",1924,2013,90,0.848,0.802,0.571,0.682,0.316,0.257,0.374,0.843
"945","HOW3032W",1931,2012,82,1.204,1.292,0.529,-0.371,0.257,0.206,0.245,0.789
"946","HOW3033W",1826,2013,188,0.88,0.796,0.455,1.732,0.239,0.223,0.265,0.818
"947","HOW3033E",1834,2013,180,0.742,0.725,0.357,0.478,0.254,0.229,0.271,0.798
"948","HOW3051W",1921,2013,93,0.643,0.526,0.454,1.407,0.234,0.232,0.37,0.839
"949","HOW3051E",1922,2011,90,0.683,0.546,0.523,1.074,0.239,0.205,0.411,0.899
"950","HOW3054E",1862,2013,152,0.886,0.696,0.716,3.077,0.22,0.216,0.338,0.901
"951","HOW3054W",1863,2013,151,0.881,0.658,0.645,2.161,0.199,0.197,0.349,0.914
"952","HOW3062N",1916,2011,96,1.102,1.064,0.621,1.525,0.234,0.205,0.285,0.858
"953","HOW3062S",1915,2011,97,1.145,1.138,0.449,-0.08,0.174,0.15,0.218,0.847
"954","HOW3063S",1919,2013,95,1.118,0.769,2.029,8.489,0.279,0.555,0.425,0.028
"955","HOW3063N",1919,2013,95,1.187,0.981,0.611,0.6,0.232,0.219,0.288,0.83
"956","HOW3073E",1847,2013,167,0.395,0.381,0.194,0.384,0.43,0.347,0.275,0.503
"957","HOW3073W",1888,2013,126,0.565,0.504,0.335,2.302,0.287,0.271,0.295,0.772
"958","HOW3082E",1920,2013,94,1.08,0.846,0.875,1.953,0.263,0.233,0.396,0.898
"959","HOW3082W",1915,2013,99,1.043,0.585,1.134,2.167,0.278,0.262,0.492,0.911
"960","HOW1115N",1946,2013,68,0.781,0.534,0.689,1.124,0.205,0.145,0.466,0.91
"961","HOW1115S",1946,1991,46,1.102,0.904,0.675,1.154,0.179,0.169,0.322,0.853
